Date,Traffic_Source,Sessions,Users,New_Users,Bounce_Rate,Avg_Session_Duration,Pages_Per_Session,Conversions,Revenue
2024-01-01,Organic Search,1250,980,620,42.5,3.25,4.2,85,42500
2024-01-01,Direct,430,360,180,38.2,4.10,5.1,42,21000
2024-01-01,Social Media,680,590,410,55.3,2.15,2.8,28,14000
2024-01-01,Referral,310,270,190,44.8,3.50,3.9,22,11000
2024-01-01,Email,190,170,60,30.1,5.20,6.3,31,15500
2024-01-01,Paid Search,520,460,310,48.6,2.80,3.4,48,24000
2024-01-08,Organic Search,1340,1050,680,41.8,3.30,4.3,92,46000
2024-01-08,Direct,460,390,200,37.5,4.20,5.3,46,23000
2024-01-08,Social Media,720,630,445,54.1,2.20,2.9,31,15500
2024-01-08,Referral,330,290,205,43.9,3.55,4.0,25,12500
2024-01-08,Email,210,185,65,29.8,5.30,6.4,35,17500
2024-01-08,Paid Search,560,495,335,47.9,2.85,3.5,52,26000
2024-01-15,Organic Search,1410,1110,720,41.2,3.35,4.4,98,49000
2024-01-15,Direct,490,415,215,37.1,4.25,5.4,50,25000
2024-01-15,Social Media,760,665,470,53.5,2.25,3.0,34,17000
2024-01-15,Referral,350,305,215,43.2,3.60,4.1,27,13500
2024-01-15,Email,225,200,70,29.3,5.40,6.5,38,19000
2024-01-15,Paid Search,595,530,355,47.3,2.90,3.6,55,27500
2024-01-22,Organic Search,1480,1165,760,40.8,3.40,4.5,104,52000
2024-01-22,Direct,510,432,228,36.8,4.30,5.5,53,26500
2024-01-22,Social Media,800,700,495,52.8,2.30,3.1,37,18500
2024-01-22,Referral,368,320,225,42.7,3.65,4.2,29,14500
2024-01-22,Email,238,212,74,28.9,5.50,6.6,40,20000
2024-01-22,Paid Search,628,558,375,46.8,2.95,3.7,58,29000
2024-02-05,Organic Search,1560,1228,800,40.3,3.45,4.6,110,55000
2024-02-05,Direct,540,458,242,36.4,4.35,5.6,56,28000
2024-02-05,Social Media,845,740,520,52.1,2.35,3.2,40,20000
2024-02-05,Referral,386,336,235,42.2,3.70,4.3,31,15500
2024-02-05,Email,250,223,78,28.5,5.60,6.7,43,21500
2024-02-05,Paid Search,660,585,395,46.2,3.00,3.8,61,30500
2024-02-12,Organic Search,1630,1285,840,39.8,3.50,4.7,116,58000
2024-02-12,Direct,568,482,255,36.1,4.40,5.7,59,29500
2024-02-12,Social Media,885,775,545,51.5,2.40,3.3,43,21500
2024-02-12,Referral,402,350,245,41.8,3.75,4.4,33,16500
2024-02-12,Email,262,234,82,28.1,5.70,6.8,46,23000
2024-02-12,Paid Search,690,612,415,45.7,3.05,3.9,64,32000
2024-02-19,Organic Search,1700,1340,880,39.4,3.55,4.8,122,61000
2024-02-19,Direct,595,505,268,35.8,4.45,5.8,62,31000
2024-02-19,Social Media,925,810,570,50.9,2.45,3.4,46,23000
2024-02-19,Referral,418,364,255,41.4,3.80,4.5,35,17500
2024-02-19,Email,274,244,86,27.8,5.80,6.9,49,24500
2024-02-19,Paid Search,720,639,435,45.2,3.10,4.0,67,33500
2024-03-04,Organic Search,1820,1434,945,38.8,3.62,4.9,131,65500
2024-03-04,Direct,638,542,288,35.3,4.52,5.9,67,33500
2024-03-04,Social Media,990,868,610,50.1,2.52,3.5,50,25000
2024-03-04,Referral,448,390,272,40.8,3.88,4.6,38,19000
2024-03-04,Email,294,262,93,27.3,5.92,7.0,53,26500
2024-03-04,Paid Search,772,685,465,44.5,3.18,4.1,72,36000
2024-03-11,Organic Search,1900,1498,990,38.4,3.68,5.0,138,69000
2024-03-11,Direct,665,565,300,35.0,4.58,6.0,70,35000
2024-03-11,Social Media,1030,904,638,49.5,2.58,3.6,53,26500
2024-03-11,Referral,464,404,282,40.4,3.94,4.7,40,20000
2024-03-11,Email,306,272,97,27.0,6.00,7.1,56,28000
2024-03-11,Paid Search,802,712,482,44.1,3.24,4.2,75,37500
2024-03-18,Organic Search,1980,1560,1035,38.0,3.74,5.1,144,72000
2024-03-18,Direct,692,588,312,34.7,4.64,6.1,73,36500
2024-03-18,Social Media,1068,938,664,49.0,2.64,3.7,56,28000
2024-03-18,Referral,480,418,292,40.0,4.00,4.8,42,21000
2024-03-18,Email,318,282,101,26.7,6.08,7.2,59,29500
2024-03-18,Paid Search,832,738,500,43.7,3.30,4.3,78,39000
2024-04-01,Organic Search,2100,1654,1098,37.4,3.82,5.2,153,76500
2024-04-01,Direct,730,621,330,34.2,4.72,6.2,77,38500
